,id,code,description,hasChildren,section,index,crawled,country,parent_id,error_message,selectable,intervalMin,intervalMax
3991,15484,841460,Hoods having a maximum horizontal side not exceeding 120 cm,False,,,,AT,1784,,True,,
3992,15584,841470,Gas-tight biological safety cabinets,False,,,,AT,1784,,True,,
3993,15684,841480,Other,True,,,Done,AT,1784,,,,
3994,15784,841490,Parts,True,,,Done,AT,1784,,,,
3995,63984,841510,"Of a kind designed to be fixed to a window, wall, ceiling or floor, self-contained or ""split-system""",True,,,Done,AT,1884,,,,
3996,64084,841520,"Of a kind used for persons, in motor vehicles",True,,,Done,AT,1884,,,,
3997,16284,,Other,True,,,Done,AT,1884,,,8415810000,8415830000
3998,16384,841590,Parts,True,,,Done,AT,1884,,,,
3999,16484,841610,Furnace burners for liquid fuel,True,,,Done,AT,1984,,,,
4000,64184,841620,"Other furnace burners, including combination burners",True,,,Done,AT,1984,,,,
4001,16784,841630,"Mechanical stokers, including their mechanical grates, mechanical ash dischargers and similar appliances",False,,,,AT,1984,,True,,
4002,16884,841690,Parts,False,,,,AT,1984,,True,,
4003,16984,841710,"Furnaces and ovens for the roasting, melting or other heat treatment of ores, pyrites or of metals",False,,,,AT,2084,,True,,
4004,17084,841720,"Bakery ovens, including biscuit ovens",True,,,Done,AT,2084,,,,
4005,64284,841780,Other,True,,,Done,AT,2084,,,,
4006,17384,841790,Parts,False,,,,AT,2084,,True,,
4007,17484,841810,"Combined refrigerator-freezers, fitted with separate external doors or drawers, or combinations thereof",True,,,Done,AT,2184,,,,
4008,17584,,"Refrigerators, household type",True,,,Done,AT,2184,,,8418210000,8418290000
4009,17684,841830,"Freezers of the chest type, not exceeding 800 litres capacity",True,,,Done,AT,2184,,,,
4010,17784,841840,"Freezers of the upright type, not exceeding 900 litres capacity",True,,,Done,AT,2184,,,,
4011,17884,841850,"Other furniture (chests, cabinets, display counters, showcases and the like) for storage and display, incorporating refrigerating or freezing equipment",True,,,Done,AT,2184,,,,
4012,17984,,Other refrigerating or freezing equipment; heat pumps,True,,,Done,AT,2184,,,8418610000,8418690000
4013,18084,,Parts,True,,,Done,AT,2184,,,8418910000,8418990000
4014,18184,,"Instantaneous or storage water heaters, non-electric",True,,,Done,AT,2284,,,8419110000,8419190000
4015,18284,841920,"Medical, surgical or laboratory sterilisers",False,,,,AT,2284,,True,,
4016,18484,,Dryers,True,,,Done,AT,2284,,,8419330000,8419390000
4017,64384,841940,Distilling or rectifying plant,True,,,Done,AT,2284,,,,
4018,18784,841950,Heat-exchange units,True,,,Done,AT,2284,,,,
4019,18884,841960,Machinery for liquefying air or other gases,False,,,,AT,2284,,True,,
4020,18984,,"Other machinery, plant and equipment",True,,,Done,AT,2284,,,8419810000,8419890000
4021,19084,841990,Parts,True,,,Done,AT,2284,,,,
4022,64484,842010,Calendering or other rolling machines,True,,,Done,AT,2384,,,,
4023,19384,,Parts,True,,,Done,AT,2384,,,8420910000,8420990000
4024,19484,,"Centrifuges, including centrifugal dryers",True,,,Done,AT,2484,,,8421110000,8421190000
4025,19584,,Filtering or purifying machinery and apparatus for liquids,True,,,Done,AT,2484,,,8421210000,8421290000
4026,19684,,Filtering or purifying machinery and apparatus for gases,True,,,Done,AT,2484,,,8421310000,8421390000
4027,19784,,Parts,True,,,Done,AT,2484,,,8421910000,8421990000
4028,19884,,Dishwashing machines,True,,,Done,AT,2584,,,8422110000,8422190000
4029,19984,842220,Machinery for cleaning or drying bottles or other containers,False,,,,AT,2584,,True,,
4030,64584,842230,"Machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; machinery for capsuling bottles, jars, tubes and similar containers; machinery for aerating beverages",False,,,,AT,2584,,True,,
4031,20384,842240,Other packing or wrapping machinery (including heat-shrink wrapping machinery),False,,,,AT,2584,,True,,
4032,64784,842290,Parts,True,,,Done,AT,2584,,,,
4033,20684,842310,"Personal weighing machines, including baby scales; household scales",True,,,Done,AT,2684,,,,
4034,64884,842320,Scales for continuous weighing of goods on conveyors,True,,,Done,AT,2684,,,,
4035,64984,842330,"Constant weight scales and scales for discharging a predetermined weight of material into a bag or container, including hopper scales",True,,,Done,AT,2684,,,,
4036,21184,,Other weighing machinery,True,,,Done,AT,2684,,,8423810000,8423890000
4037,65284,842390,Weighing machine weights of all kinds; parts of weighing machinery,True,,,Done,AT,2684,,,,
4038,21684,842410,"Fire extinguishers, whether or not charged",True,,,Done,AT,2784,,,,
4039,21784,842420,Spray guns and similar appliances,False,,,,AT,2784,,True,,
4040,21984,842430,Steam or sandblasting machines and similar jet projecting machines,True,,,Done,AT,2784,,,,
4041,22084,,Agricultural or horticultural sprayers,True,,,Done,AT,2784,,,8424410000,8424490000
4042,22284,,Other appliances,True,,,Done,AT,2784,,,8424820000,8424890000
4043,22384,842490,Parts,True,,,Done,AT,2784,,,,
4044,22484,,Pulley tackle and hoists other than skip hoists or hoists of a kind used for raising vehicles,True,,,Done,AT,2884,,,8425110000,8425190000
4045,22684,,Winches; capstans,True,,,Done,AT,2884,,,8425310000,8425390000
4046,22784,,Jacks; hoists of a kind used for raising vehicles,True,,,Done,AT,2884,,,8425410000,8425490000
4047,22884,,"Overhead travelling cranes, transporter cranes, gantry cranes, bridge cranes, mobile lifting frames and straddle carriers",True,,,Done,AT,2984,,,8426110000,8426190000
4048,22984,842620,Tower cranes,False,,,,AT,2984,,True,,
4049,23084,842630,Portal or pedestal jib cranes,False,,,,AT,2984,,True,,
4050,23184,,"Other machinery, self-propelled",True,,,Done,AT,2984,,,8426410000,8426490000
4051,23284,,Other machinery,True,,,Done,AT,2984,,,8426910000,8426990000
4052,23384,842710,Self-propelled trucks powered by an electric motor,True,,,Done,AT,3084,,,,
4053,23484,842720,Other self-propelled trucks,True,,,Done,AT,3084,,,,
4054,65484,842790,Other trucks,True,,,Done,AT,3084,,,,
4055,23784,842810,Lifts and skip hoists,True,,,Done,AT,3184,,,,
4056,23884,842820,Pneumatic elevators and conveyors,True,,,Done,AT,3184,,,,
4057,23984,,"Other continuous-action elevators and conveyors, for goods or materials",True,,,Done,AT,3184,,,8428310000,8428390000
