Unnamed: 0,id,code,description,hasChildren,section,index,crawled,country,parent_id,error_message,selectable,intervalMin,intervalMax,tariff_crawled,tariff_crawled_error_message
22883,250072,7226993030,"Plated or coated by hot dip galvanisation, whether or not alloyed with silicon; chemically passivated; with or without any additional surface treatment such as oiling or sealing; containing by weight: not more than 0,5% of carbon, not more than 1,1% of aluminium, not more than 0,12% of niobium, not more than 0,17% of titanium and not more than 0,15% of vanadium; presented in coils, cut-to-length sheets and narrow strips",FALSE,,,,AT,182672,,TRUE,,,,
22884,250172,7226993090,Other,FALSE,,,,AT,182672,,TRUE,,,,
22885,250472,,"Of a width not exceeding 500 mm, hot-rolled, not further worked than clad; of a width exceeding 500 mm, not further worked than surface-treated, including cladding",TRUE,,,Done,AT,164472,,,7226997011,7226997019,,
22886,250672,,Other,TRUE,,,Done,AT,164472,,,7226997091,7226997096,,
22887,251172,7228201091,"Hot-rolled, hot-drawn or extruded, not further worked than clad",FALSE,,,,AT,165872,,TRUE,,,,
22888,251272,7228201099,Other,FALSE,,,,AT,165872,,TRUE,,,,
22889,261272,72283061,80 mm or more,FALSE,,,,AT,167872,,TRUE,,,,
22890,261472,72283069,Less than 80 mm,FALSE,,,,AT,167872,,TRUE,,,,
22891,252972,72285061,80 mm or more,FALSE,,,,AT,168572,,TRUE,,,,
22892,253072,72285069,Less than 80 mm,FALSE,,,,AT,168572,,TRUE,,,,
22893,131173,73021022,Of a weight per metre of 36 kg or more,FALSE,,,,AT,83273,,TRUE,,,,
22894,131373,73021028,Of a weight per metre of less than 36 kg,FALSE,,,,AT,83273,,TRUE,,,,
22895,133573,7304398230,"With a Carbon Equivalent Value (CEV) not exceeding 0,86 according to the International Institute of Welding (IIW) formula and chemical analysis",FALSE,,,,AT,88673,,TRUE,,,,
22896,133673,7304398299,Other,FALSE,,,,AT,88673,,TRUE,,,,
22897,133773,7304398320,"With a Carbon Equivalent Value (CEV) not exceeding 0,86 according to the International Institute of Welding (IIW) formula and chemical analysis",FALSE,,,,AT,88773,,TRUE,,,,
22898,133873,7304398380,Other,FALSE,,,,AT,88773,,TRUE,,,,
22899,137673,7304518930,"Of an external diameter not exceeding 406,4 mm and with a Carbon Equivalent Value (CEV) not exceeding 0,86 according to the International Institute of Welding (IIW) formula and chemical analysis",FALSE,,,,AT,92173,,TRUE,,,,
22900,137873,7304518999,Other,FALSE,,,,AT,92173,,TRUE,,,,
22901,139273,7304598230,"With a Carbon Equivalent Value (CEV) not exceeding 0,86 according to the International Institute of Welding (IIW) formula and chemical analysis",FALSE,,,,AT,93673,,TRUE,,,,
22902,139373,7304598299,Other,FALSE,,,,AT,93673,,TRUE,,,,
22903,139473,7304598320,"With a Carbon Equivalent Value (CEV) not exceeding 0,86 according to the International Institute of Welding (IIW) formula and chemical analysis",FALSE,,,,AT,93773,,TRUE,,,,
22904,139573,7304598380,Other,FALSE,,,,AT,93773,,TRUE,,,,
22905,141673,7306304120,"Tubes and pipes of an external diameter not exceeding 168,3 mm",FALSE,,,,AT,95973,,TRUE,,,,
22906,141773,7306304190,Other,FALSE,,,,AT,95973,,TRUE,,,,
22907,141973,7306304920,"Tubes and pipes of an external diameter not exceeding 168,3 mm",FALSE,,,,AT,96073,,TRUE,,,,
22908,142073,7306304990,Other,FALSE,,,,AT,96073,,TRUE,,,,
22909,142673,73063072,Plated or coated with zinc,TRUE,,,Done,AT,96473,,,,,,
22910,142773,73063077,Other,TRUE,,,Done,AT,96473,,,,,,
22911,145773,,Of malleable cast iron,TRUE,,,Done,AT,100773,,,7307191003,7307191010,,
22912,145973,,Of spheroidal graphite cast iron,TRUE,,,Done,AT,100773,,,7307191013,7307191020,,
22913,146173,7307191030,Other,FALSE,,,,AT,100773,,TRUE,,,,
22914,146273,7307191035,Of malleable cast iron,FALSE,,,,AT,101273,,TRUE,,,,
22915,146373,7307191040,Of spheroidal graphite cast iron,FALSE,,,,AT,101273,,TRUE,,,,
22916,146473,7307191045,Other,FALSE,,,,AT,101273,,TRUE,,,,
22917,146773,,Consigned from Malaysia,TRUE,,,Done,AT,102373,,,7307231035,7307231040,,
22918,146873,,Other,TRUE,,,Done,AT,102373,,,7307231050,7307231055,,
22919,146973,7307231080,For use in certain types of aircraft,FALSE,,,,AT,102473,,TRUE,,,,
22920,147073,7307231085,Other,FALSE,,,,AT,102473,,TRUE,,,,
22921,147373,,Consigned from Malaysia,TRUE,,,Done,AT,102873,,,7307239035,7307239040,,
22922,147473,,Other,TRUE,,,Done,AT,102873,,,7307239050,7307239055,,
22923,147573,7307239080,For use in certain types of aircraft,FALSE,,,,AT,102973,,TRUE,,,,
22924,147673,7307239085,Other,FALSE,,,,AT,102973,,TRUE,,,,
22925,147873,,For use in certain types of aircraft,TRUE,,,Done,AT,104373,,,7307931111,7307931119,,
