stt,area,page,cntyCd,baseYy,reffNoNm,prlstClsfSrno
9903,EU,6,DE,2024,DEBTI26501/24-1,3138
9904,EU,6,DE,2024,DEBTI21302/24-1,1771
9905,EU,6,DE,2024,DEBTI27260/24-1,3355
9906,EU,6,DE,2024,DEBTI11892/24-1,183
9907,EU,6,DE,2024,DEBTI24355/24-1,2485
9908,EU,6,DE,2024,DEBTI23711/24-1,2349
9909,EU,6,DE,2024,DEBTI23772/24-1,2386
9910,EU,6,DE,2024,DEBTI23711/24-2,2350
9911,EU,6,DE,2024,DEBTI14971/24-1,565
9912,EU,6,DE,2024,DEBTI27475/24-1,3436
9913,EU,6,CZ,2024,CZBTI45/132435/2024-580000-04/01,241
9914,EU,6,FR,2024,FRBTIFR-BTI-2024-04997,1116
9915,EU,6,DE,2024,DEBTI25442/24-1,2829
9916,EU,6,DE,2024,DEBTI26659/24-1,3173
9917,EU,6,AT,2024,ATBTI2024000275-DEC,59
9918,EU,6,DE,2024,DEBTI30299/24-1,4198
9919,EU,6,DE,2024,DEBTI49268/23-1,5961
9920,EU,6,DE,2024,DEBTI27437/24-1,3412
9921,EU,6,DE,2024,DEBTI28901/24-1,3817
9922,EU,6,DE,2024,DEBTI28870/24-1,3810
9923,EU,6,CZ,2024,CZBTI41/172357/2024-580000-04/01,185
9924,EU,6,DE,2024,DEBTI31337/24-6,4418
9925,EU,6,DE,2024,DEBTI23231/24-1,2230
9926,EU,6,DE,2024,DEBTI27835/24-1,3562
9927,EU,6,DE,2024,DEBTI25779/24-1,2932
9928,EU,6,AT,2024,ATBTI2024000190-DEC,13
9929,EU,6,DE,2024,DEBTI28352/24-1,3704
9930,EU,6,DE,2024,DEBTI27618/24-1,3486
9931,EU,6,PL,2024,PLBTIWIT-2024-000914,129
9932,EU,6,HU,2024,HUBTIHU190000-2024-3178150478,12
9933,EU,6,DE,2024,DEBTI32310/24-1,4680
9934,EU,6,DE,2024,DEBTI29242/24-1,3903
9935,EU,6,DE,2024,DEBTI25947/24-1,2966
9936,EU,6,DE,2024,DEBTI27257/24-1,3352
9937,EU,6,DE,2024,DEBTI31961/24-1,4565
